Unsorted Donations

ID Numbers	Donations
   234           $5.00
   876           $9.55
   495           $90000.01
   933           $100.00
   229           $41.91
   956           $389.16
   111           $650.01
   168           $1.00
   867           $16.77
   734           $3764.00
   392           $0.10
   411           $6.11
   865           $9.64
   716           $121.00
   999           $600.00
   376           $135.16
   167           $13.66
   122           $19.82


Donations Sorted by ID

ID Numbers	Donations
   111           $650.01
   122           $19.82
   167           $13.66
   168           $1.00
   229           $41.91
   234           $5.00
   376           $135.16
   392           $0.10
   411           $6.11
   495           $90000.01
   716           $121.00
   734           $3764.00
   865           $9.64
   867           $16.77
   876           $9.55
   933           $100.00
   956           $389.16
   999           $600.00


Donations Sorted by Amounts

ID Numbers	Donations
   392           $0.10
   168           $1.00
   234           $5.00
   411           $6.11
   876           $9.55
   865           $9.64
   167           $13.66
   867           $16.77
   122           $19.82
   229           $41.91
   933           $100.00
   716           $121.00
   376           $135.16
   956           $389.16
   999           $600.00
   111           $650.01
   734           $3764.00
   495           $90000.01


